Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
Vendas pix,,06/05/2026,"R$79,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,06/05/2026,"R$544,48 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,06/05/2026,"R$56,40 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,06/05/2026,"-R$111,60",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,06/05/2026,"-R$128,38",,Loja Ahu - Itaú - 98608-0
Crédito domicílio cartãoCartão De Débito - IfoodVendas,,06/05/2026,"R$100,99 ",,Compras - Inter - 23631657-5
Matéria prima,Jullye Frutas,07/05/2026,"-R$18,05",Loja,Caixa Dinheiro
Vendas cartão,,07/05/2026,"R$759,11 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,07/05/2026,"R$69,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO AMANDA DA COSTA CORTE,,07/05/2026,"-R$1.509,21",Salário,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,07/05/2026,"-R$1.529,25",Salário,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO DANTAS TRANSPORTE,,07/05/2026,"-R$942,82",Salário,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO STHEFANI ALVES DE FRANCA,,07/05/2026,"-R$1.770,13",Salário,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,07/05/2026,"-R$1.598,58",Salário,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,07/05/2026,"R$0,60 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,07/05/2026,"R$590,07 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,07/05/2026,"R$133,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,07/05/2026,"-R$162,40",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,07/05/2026,"-R$281,34",Loja,Loja Ahu - Itaú - 98608-0
Vendas food service,Coin,07/05/2026,"R$80,78 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas food service,Uva,07/05/2026,"R$55,30 ",Vendas Food Service,Compras - Inter - 23631657-5
Matéria prima,Feito Chocolate,07/05/2026,"-R$103,80",Loja,Caixa Dinheiro
Matéria prima,Pop House,07/05/2026,"-R$12,12",Fábrica,Caixa Dinheiro
Vendas cartão,,08/05/2026,"R$672,07 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,08/05/2026,"R$24,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,08/05/2026,"R$530,17 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,08/05/2026,"R$32,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,11/05/2026,"R$705,95 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,11/05/2026,"R$69,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,11/05/2026,"R$1.314,69 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,11/05/2026,"R$130,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,11/05/2026,"-R$100,00",,Loja Ahu - Itaú - 98608-0
Despesas Marketing,Drielly,11/05/2026,"-R$2.000,00",Despesas Marketing,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,11/05/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoPhoenix Auto Posto Ltd Curitiba BraTransporte,,11/05/2026,"-R$244,79",Despesas Administrativas,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,11/05/2026,"-R$59,48",,Compras - Inter - 23631657-5
Vendas cartão,,12/05/2026,"R$197,13 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,12/05/2026,"R$22,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,12/05/2026,"R$169,59 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,12/05/2026,"R$19,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,12/05/2026,"-R$373,68",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Condor,12/05/2026,"-R$27,80",Compra de Material de Limpeza,Loja Ahu - Itaú - 98608-0
Insumos,Sidmar,12/05/2026,"-R$58,40",Manutenção,Loja Ahu - Itaú - 98608-0
Matéria prima,Jullye Frutas,12/05/2026,"-R$7,55",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Franconny,12/05/2026,"-R$956,00",Loja,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,12/05/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,12/05/2026,"-R$76,00",,Compras - Inter - 23631657-5
Taxa Limpeza,Tania,12/05/2026,"-R$180,00",Limpeza,Compras - Inter - 23631657-5
Vendas cartão,,13/05/2026,"R$332,48 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,13/05/2026,"R$73,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO SEGMAC SEGURANCA,,13/05/2026,"-R$1.143,86",,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,13/05/2026,"-R$14.000,00",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,13/05/2026,"R$0,89 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,13/05/2026,"R$386,88 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/05/2026,"R$38,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Lacto Minas,13/05/2026,"-R$71,92",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Comercial Barbante,13/05/2026,"-R$44,18",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Cia da Verdura,13/05/2026,"-R$17,70",Fábrica,Loja Ahu - Itaú - 98608-0
matéria prima,Marmikok,13/05/2026,"-R$31,90",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,13/05/2026,"-R$13,00",Loja,Loja Ahu - Itaú - 98608-0
Despesas,Comercio de embalagens,13/05/2026,"-R$15,73",Despesas Vendas,Loja Ahu - Itaú - 98608-0
matéria prima,Pop House,13/05/2026,"-R$17,16",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,13/05/2026,"-R$89,88",Fábrica,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,13/05/2026,"R$14.000,00 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Matéria prima,Frabrilac,13/05/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FNS COMERCIO,,13/05/2026,"-R$403,50",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO LOGMAX SOLUC,,13/05/2026,"-R$255,30",,Loja Ahu - Itaú - 98608-0
Insumos,Nazapack,13/05/2026,"-R$1.575,63",Loja,Loja Ahu - Itaú - 98608-0
Vendas Food service,Uva,13/05/2026,"R$77,79 ",Vendas Food Service,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,13/05/2026,"R$ 85,17",,Compras - Inter - 23631657-5
Vendas cartão,,14/05/2026,"R$311,82 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,14/05/2026,"R$96,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,14/05/2026,"R$161,61 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,14/05/2026,"R$189,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumo,Condor Auto Posto,14/05/2026,"-R$100,00",Despesas Administrativas,Caixa Dinheiro
Pix enviadoPix MarketplaceSem categoria,,14/05/2026,"-R$106,43",,Compras - Inter - 23631657-5
Pix enviadoAmazon Com BrSem categoria,,14/05/2026,"-R$362,85",,Compras - Inter - 23631657-5
Vendas cartão,,15/05/2026,"R$378,59 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,15/05/2026,"R$51,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,15/05/2026,"R$233,37 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Matéria prima,Jullye Frutas,15/05/2026,"-R$7,50",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO HENRIQUE NOCERA,,15/05/2026,"-R$2.500,00",,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,15/05/2026,"-R$1.500,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,15/05/2026,"-R$2.430,43",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO BANCO C6 S.A,,15/05/2026,"-R$83,47",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/05/2026,"-R$550,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/05/2026,"-R$533,75",,Loja Ahu - Itaú - 98608-0
Luz,Copel,15/05/2026,"-R$1.320,25",Luz,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,15/05/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas Food service,Coin,15/05/2026,"R$103,71 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,18/05/2026,"R$1.299,49 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,18/05/2026,"R$116,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,18/05/2026,"R$1.407,55 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,18/05/2026,"R$202,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,18/05/2026,"-R$47,88",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,18/05/2026,"-R$47,88",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,18/05/2026,"-R$47,88",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,18/05/2026,"-R$47,88",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,New Card Gráfica,18/05/2026,"-R$333,00",Loja,Loja Ahu - Itaú - 98608-0
Insumos,Super Brilho,18/05/2026,"-R$218,65",Loja,Loja Ahu - Itaú - 98608-0
Vendas cartão,,19/05/2026,"R$100,44 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,19/05/2026,"R$47,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,19/05/2026,"R$73,54 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,19/05/2026,"R$19,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,20/05/2026,"R$47,31 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,20/05/2026,"R$9,60 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,20/05/2026,"R$53,42 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,20/05/2026,"R$10,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,,20/05/2026,"-R$7,50",Loja,Caixa Dinheiro
PAGAMENTOS PIX QR-CODE,,20/05/2026,"-R$704,39",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/05/2026,"-R$857,20",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/05/2026,"-R$513,39",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/05/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/05/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,20/05/2026,"R$0,04 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,20/05/2026,"R$51,55 ",,Compras - Inter - 23631657-5
Insumos,Angela Utensilios,21/05/2026,"-R$21,00",Utensílios,Caixa Dinheiro
Vendas cartão,,21/05/2026,"R$351,64 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,21/05/2026,"R$38,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,21/05/2026,"R$290,92 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,21/05/2026,"R$38,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX RECEBIDO MARCIO 21/05,,21/05/2026,"R$16,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,21/05/2026,"-R$30,00",,Loja Ahu - Itaú - 98608-0
Vendas Food service,Coin,21/05/2026,"R$53,65 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas Food service,Uva,21/05/2026,"R$51,34 ",Vendas Food Service,Compras - Inter - 23631657-5
Insumos,Rede Salvaro Posto,21/05/2026,"-R$100,00",Despesas Administrativas,Caixa Dinheiro
Insumo,Marmikok,21/05/2026,"-R$141,00",Loja,
Vendas cartão,,22/05/2026,"R$215,99 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,22/05/2026,"R$45,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,22/05/2026,"R$322,43 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,22/05/2026,"R$87,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CHAVEIRO JUVEVE,,22/05/2026,"-R$12,00",,Loja Ahu - Itaú - 98608-0
Matéria prima,Confeitar,22/05/2026,"-R$113,58",Loja,Compras - Inter - 23631657-5
Insumos,Marmikok,22/05/2026,"-R$19,60",Loja,Compras - Inter - 23631657-5
Insumos,Marmikok,22/05/2026,"-R$54,50",Despesas Marketing,Compras - Inter - 23631657-5
Matéria prima,Rodrigues Club Doce,25/05/2026,"-R$70,96",Loja,Caixa Dinheiro
Matéria prima,Jullye Frutas,25/05/2026,"-R$13,50",Loja,Caixa Dinheiro
Vendas cartão,,25/05/2026,"R$1.025,06 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,25/05/2026,"R$173,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,25/05/2026,"R$1.257,24 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,25/05/2026,"R$259,70 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,25/05/2026,"-R$202,02",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,25/05/2026,"-R$202,02",,Loja Ahu - Itaú - 98608-0
Matéria prima,Feito Chocolate,25/05/2026,"-R$269,04",Fábrica,Compras - Inter - 23631657-5
Matéria prima,Condor,25/05/2026,"-R$136,52",Loja,Caixa Dinheiro
Vendas cartão,,26/05/2026,"R$325,06 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,26/05/2026,"R$64,80 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,26/05/2026,"R$221,68 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,26/05/2026,"-R$127,87",,Loja Ahu - Itaú - 98608-0
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,26/05/2026,"-R$84,39",,Compras - Inter - 23631657-5
Insumo,Sidmar,27/05/2026,"-R$27,70",Desenvolvimento Novos Produtos,Caixa Dinheiro
Matéria prima,Condor,27/05/2026,"-R$27,31",Desenvolvimento Novos Produtos,Caixa Dinheiro
Matéria prima,Condor,27/05/2026,"-R$258,04",Fábrica,Caixa Dinheiro
Vendas cartão,,27/05/2026,"R$282,54 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,27/05/2026,"R$35,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Vendas cartão,,27/05/2026,"R$310,53 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,27/05/2026,"R$88,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência recebidaIfood.com Agencia De Restaurantes OSem categoria,,27/05/2026,"R$14,62 ",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,27/05/2026,"R$32,92 ",,Compras - Inter - 23631657-5
Matéria prima,Adega Brasil,28/05/2026,"-R$49,90",Fábrica,Caixa Dinheiro
Vendas cartão,,28/05/2026,"R$358,48 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,28/05/2026,"R$80,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,28/05/2026,"R$434,80 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,28/05/2026,"R$134,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,,28/05/2026,"-R$103,80",Loja,Caixa Dinheiro
PAGAMENTOS PIX QR-CODE,,28/05/2026,"-R$260,00",,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,28/05/2026,"-R$140,15",Loja,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PLUXEE BENEF,,28/05/2026,"-R$1.989,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FUNDO DE URB,,28/05/2026,"-R$874,92",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,28/05/2026,"R$0,07 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Vendas Food service,Uva,28/05/2026,"R$49,10 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,29/05/2026,"R$253,38 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,29/05/2026,"R$326,53 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,29/05/2026,"R$73,27 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,29/05/2026,"-R$16,76",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,29/05/2026,"-R$6,58",Desenvolvimento Novos Produtos,Loja Ahu - Itaú - 98608-0
Compra no débitoFestval Alto Da Xv Curitiba BraAlimentação,,29/05/2026,"-R$57,12",,Compras - Inter - 23631657-5
Compra no débitoPophouse Curitiba BraAlimentação,,29/05/2026,"-R$201,52",,Compras - Inter - 23631657-5
Matéria prima,Spal,30/05/2026,"-R$387,12",Loja,Compras - Inter - 23631657-5
Vendas cartão,,01/06/2026,"R$1.869,55 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,01/06/2026,"R$215,39 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,01/06/2026,"R$3.914,87 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,01/06/2026,"R$419,40 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,01/06/2026,"-R$17,98",Fábrica,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,01/06/2026,"-R$111,40",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO 50.491.721 CLEVERSON RODRIGO,,01/06/2026,"-R$19,00",,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,02/06/2026,"-R$79,44",Fábrica,Caixa Dinheiro
Matéria prima,Condor,02/06/2026,"-R$115,23",Fábrica,Caixa Dinheiro
Matéria prima,Condor,02/06/2026,"-R$90,15",Fábrica,Caixa Dinheiro
Matéria prima,Cia da Verdura,02/06/2026,"-R$11,80",Fábrica,Caixa Dinheiro
Matéria prima,A Casa do Confeiteiro,02/06/2026,"-R$141,90",Fábrica,Caixa Dinheiro
Vendas cartão,,02/06/2026,"R$169,10 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,02/06/2026,"R$80,40 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,02/06/2026,"R$198,57 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,02/06/2026,"R$89,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,02/06/2026,"-R$71,30",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,02/06/2026,"-R$141,00",Loja,Loja Ahu - Itaú - 98608-0
Transferência entre contas,Pix enviado,02/06/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Matéria prima,Sendas,02/06/2026,"-R$135,60",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Sendas,02/06/2026,"-R$150,00",Fábrica,Caixa Dinheiro
Limpeza,Tania,02/06/2026,"-R$180,00",Limpeza,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,02/06/2026,"R$0,03 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Matéria prima,Gold,02/06/2026,"-R$295,08",Fábrica,Compras - Inter - 23631657-5
Transferência entre contas,Pix recebido,02/06/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,03/06/2026,"R$143,83 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,03/06/2026,"R$50,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX RECEBIDO 99 FOOD03/06,,03/06/2026,"R$19,18 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,03/06/2026,"R$274,71 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,03/06/2026,"R$3,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,03/06/2026,"-R$98,57",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO NIVALDO GERALDO DOS SANTOS,,03/06/2026,"-R$400,00",,Loja Ahu - Itaú - 98608-0
Transferência recebidaIfood.com Agencia De Restaurantes,,03/06/2026,"R$36,72 ",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,03/06/2026,"R$49,01 ",,Compras - Inter - 23631657-5
Vendas cartão,,05/06/2026,"R$617,32 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,05/06/2026,"R$109,70 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
BOLETO PAGO FAMAPA EMPRE,,05/06/2026,"-R$6.204,43",,Loja Alto XV - Itaú - 98554-6
BOLETO PAGO Bwu Cont,,05/06/2026,"-R$380,00",,Loja Alto XV - Itaú - 98554-6
BOLETO PAGO Bwu Cont,,05/06/2026,"-R$1.247,00",,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO MH EMPREENDIMENTOS SOCIEDADE,,05/06/2026,"-R$1.728,65",,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,05/06/2026,"R$0,38 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,05/06/2026,"R$1.822,87 ",,Loja Ahu - Itaú - 98608-0
Vendas pix,,05/06/2026,"R$92,60 ",,Loja Ahu - Itaú - 98608-0
matéria prima,Condor,05/06/2026,"-R$35,76",Desenvolvimento Novos Produtos,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,05/06/2026,"-R$8,58",Fábrica,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,05/06/2026,"-R$161,25",,Loja Ahu - Itaú - 98608-0
RECEBIMENTOS MH EMPREENDIMENTO...,,05/06/2026,"R$1.728,65 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX RECEBIDO Mh Empr05/06,,05/06/2026,"R$1.112,99 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO AMANDA DA COSTA CORTE,,05/06/2026,"-R$1.503,99",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,05/06/2026,"-R$1.505,35",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,05/06/2026,"-R$1.577,03",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO STHEFANI ALVES DE FRANCA,,05/06/2026,"-R$1.644,71",,Loja Ahu - Itaú - 98608-0
BUSINESS 4005-3261,,05/06/2026,"-R$273,37",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,05/06/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoPhoenix Auto Posto Ltd Curitiba BraTransporte,,04/06/2026,"-R$271,14",Despesas Administrativas,Compras - Inter - 23631657-5
Vendas Food service,Coin,05/06/2026,"R$52,09 ",Vendas Food Service,Compras - Inter - 23631657-5
Compra no débitoDunia Park Curitiba BraSem categoria,,06/06/2026,"-R$10,00",,Compras - Inter - 23631657-5
Comercial Barbante E Curitiba BraCompras,,06/06/2026,"-R$72,75",,Compras - Inter - 23631657-5
Matéria prima,Circuito,07/06/2026,"-R$110,16",Fábrica,Caixa Dinheiro
Matéria prima,Circuito,07/06/2026,"-R$110,16",Fábrica,Caixa Dinheiro
Vendas cartão,,08/06/2026,"R$2.893,81 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,08/06/2026,"R$436,58 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,08/06/2026,"R$6.118,15 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,08/06/2026,"R$283,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Jullye Frutas,08/06/2026,"-R$15,95",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,08/06/2026,"-R$112,00",,Loja Ahu - Itaú - 98608-0
Matéria prima,Milk,08/06/2026,"-R$1.100,88",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
Compra no débitoPophouse Curitiba BraAlimentação,,08/06/2026,"-R$223,74",,Compras - Inter - 23631657-5
Compra no débitoFestval Juveve Curitiba BraAlimentação,,08/06/2026,"-R$68,96",,Compras - Inter - 23631657-5
Matéria prima,Condor,08/06/2026,"-R$226,67",Fábrica,Caixa Dinheiro
Matéria prima,Condor,08/06/2026,"-R$18,18",Loja,Caixa Dinheiro
